Alabama,4.9
Alaska ,8.71
Arizona,6.68
Arkansas,5.59
California,5.76
Colorado,5.36
Connecticut,8.27
Delaware,5.45
DC,7.49
Florida,5.6
Georgia,4.51
Hawaii,8.87
Idaho,4.9
Illinois,7.73
Indiana,5.32
Iowa,5.76
Kansas,5.11
Kentucky ,4.72
Louisiana,4.46
Maine,6.54
Maryland,6.45
Massachusetts,9.08
Michigan,6.81
Minnesota,8.11
Mississippi,4.85
Missouri,4.41
Montana,5.87
Nebraska,5.45
Nevada,5.43
New Hampshire,5.73
New Jersey,7.6
New Mexico,6.17
New York,10.29
North Carolina,4.66
North Dakota,4.56
Ohio,5.78
Oklahoma,5.36
Oregon,5.71
Pennsylvania,6.25
Rhode Island,8.7
South Carolina,4.87
South Dakota,5.6
Tennessee,5.19
Texas,5.87
Utah,6.39
Vermont,8.12
Virginia,5.14
Washington,7.97
West Virginia,4.86
Wisconsin,7.65
Wyoming,5.02
